#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36A5A
#Date Time: 2025-02-25 13:38:48.885
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.1024,0.001678455670119278,-0.02626723789555388
-0.102375,0.00101774058010838,-0.02895177023625639
-0.10235,-0.001625119779929202,-0.02794507060849324
-0.102325,-0.005589410319987379,-0.03197186911954769
-0.1023,-0.009223343315040707,-0.03398526837507491
-0.102275,-0.01153584613007464,-0.03968989959906873
-0.10225,-0.01384834894510903,-0.03968989959906964
-0.102225,-0.01483942158012312,-0.04170329885459595
-0.1022,-0.01318763385509888,-0.04371669811012317
-0.102175,-0.009553700860045556,-0.0480790631637655
-0.10215,-0.004928695229977682,-0.0504280289618806
-0.102125,-0.003937622594962388,-0.05177029513223254
-0.1021,-0.002285834869938898,-0.05277699475999569
-0.102075,0.001678455670119278,-0.05143472858964421
-0.10205,0.003660600940148366,-0.05109916204705634
-0.102025,0.002669528305133822,-0.0480790631637655
-0.102,0.00101774058010793,-0.04908576279152896
-0.101975,-0.002616192414943746,-0.04875019624894124
-0.10195,-0.006250125409997075,-0.05210586167481995
-0.101925,-0.01153584613007464,-0.05210586167481995
-0.1019,-0.01417870649011343,-0.05713935981363802
-0.101875,-0.01450906403511797,-0.05546152710070034
-0.10185,-0.01384834894510858,-0.05915275906916524
-0.101825,-0.01153584613007464,-0.05948832561175312
-0.1018,-0.005589410319987379,-0.06485739029315904
-0.101775,0.000357025490099886,-0.06418625720798332
-0.10175,0.003330243395145021,-0.0645218237505704
-0.101725,0.006633818845191999,-0.06284399103763183
-0.1017,0.01026775184024533,-0.05915275906916524
-0.101675,0.0142320423803035,-0.0504280289618806
-0.10165,0.01456239992530835,-0.04002546614165659
-0.101625,0.0142320423803029,-0.03197186911954494
-0.1016,0.01291061220028411,-0.02593167135296601
-0.101575,0.008615964115221086,-0.01989147358638433
-0.10155,0.0006873830351047341,-0.01284457619203904
-0.101525,-0.004928695229977682,-0.01083117693651181
-0.1015,-0.008892985770034056,-0.008817777680985503
-0.101475,-0.01351799140010373,-0.01116674347909969
-0.10145,-0.0181429970301716,-0.01150231002168756
-0.101425,-0.01979478475519584,-0.01989147358638433
-0.1014,-0.01715192439515706,-0.02828063715108111
-0.101375,-0.01616085176014297,-0.04170329885458984
-0.10135,-0.01450906403511827,-0.04975689587670486
-0.101325,-0.0112054885850698,-0.05814605944140163
-0.1013,-0.005589410319987379,-0.06452182375057117
-0.101275,-0.002285834869938898,-0.07056202151715285
-0.10125,-0.001294762234924805,-0.07022645497456513
-0.101225,2.6667945095038e-05,-0.06921975534680139
-0.1012,0.002008813215124126,-0.0678774891764499
-0.101175,0.002339170760128974,-0.06687078954868628
-0.10115,0.000357025490099886,-0.0608305917821046
-0.101125,-0.003607265049956488,-0.05311256130258708
-0.1011,-0.007241198045011618,-0.04740793007858976
-0.101075,-0.0112054885850698,-0.04136773231200808
-0.10105,-0.01384834894510858,-0.03801206688612937
-0.101025,-0.01516977912512797,-0.0329785687473113
-0.101,-0.01318763385509978,-0.03264300220472358
-0.100975,-0.01252691876508919,-0.03197186911954769
-0.10095,-0.009884058405050402,-0.03230743566213556
-0.100925,-0.007571555590016467,-0.03163630257695982
-0.1009,-0.00360726504995829,-0.03666980071577788
-0.100875,-0.001294762234925406,-0.04036103268424279
-0.10085,0.0006873830351047341,-0.04707236353600189
-0.100825,0.003330243395143518,-0.05076359550446847
-0.1008,0.006633818845191999,-0.05814605944140163
-0.100775,0.00828560657021624,-0.06116615832469247
-0.10075,0.00828560657021624,-0.06317955758021879
-0.100725,0.00828560657021624,-0.06418625720798332
