#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36A5A
#Date Time: 2025-02-25 13:49:43.399
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.1024,0.06642853449106949,-0.1930438095617258
-0.102375,0.06874103730610492,-0.1886814445080827
-0.10235,0.07204461275615191,-0.1870036117951441
-0.102325,0.05949102604596768,-0.2037819389245377
-0.1023,0.0396695733456768,-0.2279427299908644
-0.102275,0.02579455645547318,-0.2339829277574461
-0.10225,0.01224989711026766,-0.2108288363188733
-0.102225,-0.002616192414943746,-0.1896881441358471
-0.1022,-0.02441979038526372,-0.1732453835490414
-0.102175,-0.04457160063055945,-0.1551247902492963
-0.10215,-0.06108947788080185,-0.1252593679589758
-0.102125,-0.07133056177595559,-0.08230685050771201
-0.1021,-0.07892878531106365,-0.04640123045082614
-0.102075,-0.08256271830611697,-0.01519354199015414
-0.10205,-0.08190200321610727,0.01265848104463916
-0.102025,-0.07100020423094729,0.05695326466623814
-0.102,-0.05448232698069798,0.1022547479156105
-0.101975,-0.03928587991048188,0.1237310066412245
-0.10195,-0.02210728757022978,0.1227243070134608
-0.101925,-0.0112054885850698,0.125073272811576
-0.1019,-0.002285834869938898,0.1277578051522789
-0.101875,0.009937394295244685,0.1210464743005107
-0.10185,0.01918740555537623,0.09722124977678265
-0.101825,0.02480348382045864,0.08413415461585569
-0.1018,0.01258025465527926,0.08379858807326782
-0.101775,0.003330243395143518,0.09050991892502525
-0.10175,-0.004928695229980537,0.07238932562525578
-0.101725,-0.0112054885850698,0.01869867881122084
-0.1017,-0.01483942158012312,-0.03633423417319001
-0.101675,-0.007571555590016467,-0.06619965646351053
-0.10165,-0.01186620367507949,-0.07425325348561945
-0.101625,-0.02012514230019604,-0.07760891891151235
-0.1016,-0.009884058405050402,-0.1088166073721702
-0.101575,-0.006580482955001923,-0.1635139538139931
