#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36A5A
#Date Time: 2025-02-25 13:39:18.655
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.10237578125,-0.007571555590016467,-0.04774349662117763
-0.10235078125,-0.009884058405050553,-0.05076359550446938
-0.10232578125,-0.01021441595005525,-0.05277699475999569
-0.10230078125,-0.0105447734950601,-0.05579709364328653
-0.10227578125,-0.009553700860045556,-0.0584816259839895
-0.10225078125,-0.006580482955001923,-0.06116615832469247
-0.10222578125,-0.003276907504952541,-0.06217285795245624
-0.10220078125,-0.001294762234924354,-0.06250842449504396
-0.10217578125,0.001678455670119278,-0.06183729140986821
-0.10215078125,0.004651673575162911,-0.0584816259839895
-0.10212578125,0.007294533935201694,-0.05244142821740783
-0.10210078125,0.008285606570216391,-0.04573009736564766
-0.10207578125,0.008615964115221086,-0.03968989959906873
-0.10205078125,0.007955249025211391,-0.03499196800283853
-0.10202578125,0.004982031120167758,-0.03062960294919621
-0.10200078125,2.6667945095038e-05,-0.02660280443814175
-0.10197578125,-0.004267980139969639,-0.02458940518261407
-0.10195078125,-0.007901913135021315,-0.02358270555485091
-0.10192578125,-0.0112054885850698,-0.02425383864002666
-0.10190078125,-0.01483942158012312,-0.02593167135296601
-0.10187578125,-0.01583049421513767,-0.02995846986402046
-0.10185078125,-0.01516977912512737,-0.03633423417319306
-0.10182578125,-0.01384834894510858,-0.04304556502494743
-0.10180078125,-0.01252691876508919,-0.04841462970635337
-0.10177578125,-0.009553700860045556,-0.05277699475999569
-0.10175078125,-0.005589410319987379,-0.05680379327105015
-0.10172578125,-0.002616192414942995,-0.05881719252657753
-0.10170078125,-0.0009644046899195062,-0.05915275906916524
-0.10167578125,0.001017740580109582,-0.0584816259839895
-0.10165078125,0.002339170760128974,-0.05781049289881376
-0.10162578125,0.002008813215124126,-0.05713935981363802
-0.10160078125,0.0003570254900986842,-0.05512596055810957
-0.10157578125,-0.002285834869938898,-0.05244142821740783
-0.10155078125,-0.004928695229977682,-0.04975689587670486
-0.10152578125,-0.007901913135021315,-0.04774349662117763
-0.10150078125,-0.0105447734950601,-0.0457300973656504
-0.10147578125,-0.01186620367507889,-0.04371669811012409
-0.10145078125,-0.01186620367507949,-0.04304556502494743
-0.10142578125,-0.01087513104006495,-0.04304556502494743
-0.10140078125,-0.009223343315040707,-0.0423744319397717
-0.10137578125,-0.007901913135021315,-0.04270999848235956
-0.10135078125,-0.005919767864993128,-0.04438783119529816
-0.10132578125,-0.00360726504995829,-0.04707236353600189
-0.10130078125,-0.001625119779929202,-0.04975689587670486
-0.10127578125,0.000357025490099886,-0.05244142821740783
-0.10125078125,0.00299988585013867,-0.05512596055811079
-0.10122578125,0.004321316030157461,-0.05680379327104938
-0.10120078125,0.004651673575162911,-0.05713935981363802
-0.10117578125,0.003990958485153215,-0.05814605944140163
-0.10115078125,0.003660600940148366,-0.05881719252657738
-0.10112578125,0.002008813215124126,-0.05881719252657738
-0.10110078125,-0.0009644046899181537,-0.05848162598398966
-0.10107578125,-0.003937622594963139,-0.05881719252657738
-0.10105078125,-0.006250125409997075,-0.05814605944140163
-0.10102578125,-0.008232270680026164,-0.05680379327105015
-0.10100078125,-0.009884058405050402,-0.05210586167481995
-0.10097578125,-0.01186620367507859,-0.04707236353600418
-0.10095078125,-0.01219656122008434,-0.04203886539718382
-0.10092578125,-0.01219656122008434,-0.0376765003435415
-0.10090078125,-0.01153584613007464,-0.03398526837507491
-0.10087578125,-0.0105447734950601,-0.0329785687473113
-0.10085078125,-0.008232270680027215,-0.03331413528989902
-0.10082578125,-0.006910840500006771,-0.03566310108801427
-0.10080078125,-0.005589410319987379,-0.03700536725836576
-0.10077578125,-0.004267980139967986,-0.03734093380095363
-0.10075078125,-0.00360726504995829,-0.03734093380095363
-0.10072578125,-0.00360726504995829,-0.03834763342871678
-0.10070078125,-0.004267980139967986,-0.03901876651389298
-0.10067578125,-0.004598337684972835,-0.04103216576942021
-0.10065078125,-0.005259052774982531,-0.04438783119529892
-0.10062578125,-0.005259052774982531,-0.0480790631637655
-0.10060078125,-0.004928695229977832,-0.05009246241929181
-0.10057578125,-0.004598337684972835,-0.05109916204705634
-0.10055078125,-0.004267980139967986,-0.05076359550446847
-0.10052578125,-0.003937622594963139,-0.05076359550446847
-0.10050078125,-0.002285834869938898,-0.05076359550446847
-0.10047578125,-0.001625119779929502,-0.05109916204705619
-0.10045078125,-0.002285834869938898,-0.05244142821740783
-0.10042578125,-0.002285834869938898,-0.05378369438775931
-0.10040078125,-0.001625119779929202,-0.05579709364328653
-0.10037578125,-0.001625119779929202,-0.05680379327105015
-0.10035078125,-0.001625119779929202,-0.05814605944140102
-0.10032578125,-0.0009644046899195062,-0.05915275906916524
-0.10030078125,2.6667945095038e-05,-0.05948832561175312
-0.10027578125,-0.00030368959990981,-0.05915275906916524
-0.10025078125,-0.001625119779929202,-0.05814605944140163
-0.10022578125,-0.002616192414943296,-0.05613266018587532
-0.10020078125,-0.004928695229977682,-0.05277699475999569
-0.10017578125,-0.007241198045011618,-0.0480790631637655
-0.10015078125,-0.009223343315040707,-0.04405226465271105
-0.10012578125,-0.009223343315040707,-0.04103216576942021
-0.10010078125,-0.00856262822503101,-0.04002546614165659
-0.10007578125,-0.007571555590016467,-0.03968989959906873
-0.10005078125,-0.005919767864992227,-0.04170329885459595
-0.10002578125,-0.00360726504995829,-0.04472339773788679
-0.10000078125,-0.00195547732493405,-0.04774349662117763
-0.09997578125000001,-0.00030368959990981,-0.05076359550446847
-0.09995078125,0.00134809812511443,-0.05445482747293505
-0.09992578125,0.002339170760128974,-0.05814605944140163
-0.09990078125,0.00134809812511443,-0.0608305917821046
-0.09987578125,0.000357025490099886,-0.06217285795245608
-0.09985078125000001,-0.001294762234924354,-0.06217285795245608
-0.09982578125,-0.00360726504995829,-0.0608305917821046
-0.09980078125,-0.006580482955001923,-0.05814605944140163
-0.09977578125,-0.008892985770035859,-0.05311256130258356
-0.09975078125,-0.01021441595005525,-0.04673679699341401
-0.09972578125000001,-0.0105447734950601,-0.04069659922683234
-0.09970078125,-0.0112054885850698,-0.03566310108801259
-0.09967578125,-0.0112054885850698,-0.03197186911954769
-0.09965078125,-0.009884058405050402,-0.02995846986402046
-0.09962578125,-0.007901913135021315,-0.02962290332143259
-0.09960078125000001,-0.006580482955001923,-0.03130073603437195
-0.09957578125,-0.003937622594961486,-0.03432083491766492
-0.09955078125,-0.00030368959990981,-0.03901876651389298
-0.09952578125,0.00299988585013867,-0.04472339773788679
-0.09950078125,0.004982031120167758,-0.0504280289618806
-0.09947578125000001,0.006633818845191999,-0.05512596055811079
-0.09945078124999999,0.007624891480206092,-0.05881719252657829
-0.09942578125,0.006633818845191999,-0.0608305917821046
-0.09940078125,0.004321316030158062,-0.06250842449504396
-0.09937578125,0.002008813215124126,-0.06250842449504396
-0.09935078125000001,-0.0006340471449146581,-0.06250842449504396
-0.09932578124999999,-0.003607265049958741,-0.06217285795245563
-0.09930078125,-0.004598337684972835,-0.06116615832469247
-0.09927578125,-0.005259052774982531,-0.06015945869692885
-0.09925078125,-0.005589410319987379,-0.0584816259839895
-0.09922578125000001,-0.006250125409997075,-0.05646822672846227
-0.09920078124999999,-0.005589410319986628,-0.05378369438775778
-0.09917578125,-0.003937622594963139,-0.0504280289618806
-0.09915078125,-0.002946549959948594,-0.04707236353600189
-0.09912578125,-0.002285834869938898,-0.04438783119529892
-0.09910078125000001,-0.0009644046899195062,-0.04170329885459595
-0.09907578124999999,-0.0003036895999102607,-0.03935433305648009
-0.09905078125,-0.001294762234924354,-0.0376765003435415
-0.09902578125,-0.001625119779929202,-0.03700536725836576
-0.09900078125,-0.001294762234924354,-0.03666980071577788
-0.09897578125000001,-0.001625119779929202,-0.0376765003435415
-0.09895078124999999,-0.0019554773249339,-0.04002546614165812
-0.09892578125,-0.001625119779929202,-0.04338113156753531
-0.09890078125,-0.00195547732493405,-0.04740793007858976
-0.09887578125,-0.002946549959948594,-0.05109916204705634
-0.09885078125000001,-0.00360726504995829,-0.05479039401552292
-0.09882578124999999,-0.004598337684973135,-0.05781049289881452
-0.09880078125,-0.005259052774982531,-0.05948832561175312
-0.09877578125,-0.005919767864992227,-0.05915275906916524
-0.09875078125,-0.006580482955001923,-0.05781049289881376
-0.09872578125000001,-0.006580482955001923,-0.05512596055811079
-0.09870078124999999,-0.007241198045011618,-0.05210586167481888
-0.09867578125,-0.007241198045011618,-0.04975689587670486
-0.09865078125,-0.006250125409997075,-0.04673679699341401
