#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36A5A
#Date Time: 2025-02-25 13:52:11.255
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.1024,-0.01285727631009403,-0.4017661990513816
-0.102375,-0.01252691876508919,-0.4007594994236175
-0.10235,-0.01252691876508919,-0.3997527997958543
-0.102325,-0.01186620367507949,-0.3987461001680908
-0.1023,-0.01153584613007464,-0.398074967082915
-0.102275,-0.01153584613007464,-0.3974038339977393
-0.10225,-0.0112054885850698,-0.3974038339977394
-0.102225,-0.0112054885850698,-0.3977394005403271
-0.1022,-0.01087513104006495,-0.398074967082915
-0.102175,-0.01153584613007464,-0.3984105336255029
-0.10215,-0.01186620367507949,-0.3987461001680908
-0.102125,-0.01186620367507964,-0.3994172332532666
-0.1021,-0.01219656122008434,-0.3997527997958543
-0.102075,-0.01252691876508919,-0.4007594994236179
-0.10205,-0.01285727631009403,-0.4017661990513816
-0.102025,-0.01252691876508919,-0.4027728986791452
-0.102,-0.01219656122008434,-0.4041151648494973
-0.101975,-0.01219656122008434,-0.4054574310198482
-0.10195,-0.01186620367507949,-0.4064641306476118
-0.101925,-0.01153584613007464,-0.4078063968179633
-0.1019,-0.01153584613007464,-0.408477529903139
-0.101875,-0.01120548858506965,-0.4094842295309027
-0.10185,-0.01087513104006495,-0.4098197960734904
-0.101825,-0.01153584613007464,-0.4108264957012541
-0.1018,-0.01186620367507949,-0.4111620622438419
-0.101775,-0.01186620367507949,-0.4114976287864298
-0.10175,-0.01219656122008449,-0.4118331953290177
-0.101725,-0.01252691876508919,-0.4118331953290177
-0.1017,-0.01285727631009403,-0.4118331953290177
-0.101675,-0.01318763385509888,-0.4111620622438419
-0.10165,-0.01318763385509888,-0.4108264957012541
-0.101625,-0.01351799140010343,-0.4104909291586659
-0.1016,-0.01285727631009403,-0.4098197960734904
-0.101575,-0.01219656122008434,-0.4098197960734904
-0.10155,-0.01153584613007464,-0.4091486629883148
-0.101525,-0.01087513104006495,-0.4088130964457269
-0.1015,-0.01021441595005555,-0.4084775299031392
-0.101475,-0.009223343315040707,-0.408477529903139
-0.10145,-0.009223343315040707,-0.408477529903139
-0.101425,-0.008892985770035859,-0.4081419633605511
-0.1014,-0.008892985770035859,-0.408477529903139
-0.101375,-0.008892985770035859,-0.408477529903139
-0.10135,-0.009553700860045556,-0.408477529903139
-0.101325,-0.009884058405050402,-0.4091486629883148
-0.1013,-0.01021441595005525,-0.4091486629883148
-0.101275,-0.01087513104006495,-0.4101553626160783
-0.10125,-0.01120548858506965,-0.410490929158666
-0.101225,-0.01186620367507949,-0.4114976287864298
-0.1012,-0.01186620367507949,-0.4121687618716056
-0.101175,-0.01186620367507949,-0.4128398949567813
-0.10115,-0.01252691876508919,-0.4131754614993692
-0.101125,-0.01219656122008449,-0.4135110280419569
-0.1011,-0.01219656122008434,-0.4135110280419571
-0.101075,-0.01219656122008434,-0.4135110280419571
-0.10105,-0.01219656122008434,-0.4138465945845449
-0.101025,-0.01186620367507949,-0.4141821611271328
-0.101,-0.01153584613007479,-0.4148532942123083
-0.100975,-0.01153584613007464,-0.4155244272974843
-0.10095,-0.01153584613007464,-0.4155244272974843
-0.100925,-0.01087513104006495,-0.4155244272974843
-0.1009,-0.0105447734950601,-0.4151888607548964
-0.100875,-0.0102144159500554,-0.4145177276697209
-0.10085,-0.01021441595005525,-0.4145177276697207
-0.100825,-0.009553700860045556,-0.4138465945845449
-0.1008,-0.008892985770035859,-0.4141821611271328
-0.100775,-0.00856262822503101,-0.4138465945845449
-0.10075,-0.00856262822503101,-0.4138465945845449
-0.100725,-0.00856262822503101,-0.4141821611271328
-0.1007,-0.008892985770035859,-0.4138465945845449
-0.100675,-0.009223343315040707,-0.4138465945845449
-0.10065,-0.009553700860045556,-0.4138465945845449
-0.100625,-0.009553700860045556,-0.4138465945845449
-0.1006,-0.0105447734950601,-0.4141821611271328
-0.100575,-0.01087513104006495,-0.4138465945845449
-0.10055,-0.01087513104006495,-0.4141821611271328
-0.100525,-0.01087513104006495,-0.4138465945845449
-0.1005,-0.01087513104006495,-0.4138465945845449
-0.100475,-0.01087513104006495,-0.4135110280419571
-0.10045,-0.01087513104006495,-0.4128398949567813
-0.100425,-0.01087513104006495,-0.4128398949567813
-0.1004,-0.0105447734950601,-0.4125043284141934
-0.100375,-0.0102144159500554,-0.4128398949567811
-0.10035,-0.009884058405050402,-0.4135110280419571
-0.100325,-0.009553700860045556,-0.4135110280419571
-0.1003,-0.009553700860045556,-0.4141821611271328
-0.100275,-0.009223343315040707,-0.4148532942123085
-0.10025,-0.009223343315040707,-0.4151888607548962
-0.100225,-0.008892985770035859,-0.4151888607548964
-0.1002,-0.008892985770035859,-0.4148532942123085
-0.100175,-0.008892985770035859,-0.4148532942123085
-0.10015,-0.00856262822503101,-0.4141821611271328
-0.100125,-0.008892985770035859,-0.4138465945845449
-0.1001,-0.008892985770035859,-0.4131754614993692
-0.100075,-0.00856262822503101,-0.4125043284141934
-0.10005,-0.008892985770035859,-0.4121687618716056
-0.100025,-0.009223343315040707,-0.4114976287864298
-0.1,-0.009553700860045556,-0.4114976287864298
-0.09997499999999999,-0.009884058405050402,-0.4114976287864298
-0.09995,-0.0105447734950601,-0.4111620622438419
-0.099925,-0.0112054885850698,-0.4114976287864298
-0.0999,-0.0112054885850698,-0.4104909291586662
-0.09987500000000001,-0.0112054885850698,-0.4104909291586662
-0.09984999999999999,-0.01153584613007464,-0.4098197960734904
-0.099825,-0.0112054885850698,-0.4088130964457269
-0.0998,-0.0105447734950601,-0.4081419633605511
-0.099775,-0.009884058405050402,-0.4074708302753754
-0.09975000000000001,-0.009223343315040707,-0.4067996971901996
-0.09972499999999999,-0.008892985770035408,-0.4064641306476118
-0.0997,-0.007901913135021315,-0.4064641306476118
-0.099675,-0.007901913135021315,-0.4067996971901996
-0.09965,-0.007571555590016467,-0.4067996971901996
-0.09962500000000001,-0.007571555590016467,-0.4071352637327875
-0.09959999999999999,-0.007571555590016617,-0.4078063968179633
-0.099575,-0.007901913135021315,-0.4078063968179633
-0.09955,-0.008232270680026164,-0.4088130964457269
-0.099525,-0.00856262822503101,-0.408477529903139
-0.09950000000000001,-0.008892985770035859,-0.4088130964457269
-0.09947499999999999,-0.009223343315040707,-0.408141963360551
-0.09945,-0.009223343315040707,-0.4078063968179633
-0.099425,-0.009223343315040707,-0.4071352637327875
-0.0994,-0.009553700860045556,-0.4067996971901996
-0.099375,-0.009553700860045556,-0.4067996971901996
-0.09934999999999999,-0.009223343315040858,-0.4067996971901996
-0.099325,-0.009553700860045556,-0.4067996971901996
-0.0993,-0.009553700860045556,-0.4074708302753754
-0.099275,-0.009553700860045556,-0.4071352637327875
-0.09925,-0.009553700860045556,-0.4074708302753754
-0.09922499999999999,-0.009553700860045556,-0.4074708302753751
-0.0992,-0.009553700860045556,-0.4067996971901996
-0.099175,-0.009553700860045556,-0.4061285641050239
-0.09915,-0.009223343315040707,-0.4051218644772603
-0.099125,-0.009223343315040707,-0.4037795983069088
-0.09909999999999999,-0.008892985770035708,-0.4027728986791447
-0.099075,-0.00856262822503101,-0.4017661990513816
-0.09905,-0.00856262822503101,-0.4010950659662058
-0.099025,-0.008232270680026164,-0.4000883663384422
-0.099,-0.008232270680026164,-0.4000883663384422
-0.09897499999999999,-0.008232270680026164,-0.3997527997958543
-0.09895,-0.008232270680026164,-0.3997527997958543
-0.098925,-0.008232270680026164,-0.3994172332532664
-0.0989,-0.00856262822503101,-0.3997527997958543
-0.098875,-0.008892985770035859,-0.3997527997958543
-0.09884999999999999,-0.008892985770035708,-0.3994172332532664
-0.098825,-0.00856262822503101,-0.3994172332532664
-0.0988,-0.00856262822503101,-0.3987461001680908
-0.098775,-0.00856262822503101,-0.398074967082915
-0.09875,-0.008232270680026164,-0.3974038339977393
-0.09872499999999999,-0.00856262822503101,-0.3970682674551512
-0.0987,-0.00856262822503101,-0.3967327009125635
-0.098675,-0.00856262822503101,-0.3967327009125635
-0.09865,-0.00856262822503101,-0.3967327009125635
-0.098625,-0.00856262822503101,-0.3970682674551514
-0.09859999999999999,-0.008562628225030859,-0.3974038339977394
-0.098575,-0.008232270680026164,-0.3977394005403271
-0.09855,-0.008232270680026164,-0.3977394005403271
-0.098525,-0.008232270680026164,-0.3977394005403271
-0.0985,-0.007901913135021315,-0.3967327009125635
-0.09847499999999999,-0.007571555590016467,-0.3960615678273875
-0.09845,-0.007571555590016467,-0.395390434742212
-0.098425,-0.007241198045011618,-0.3943837351144484
-0.0984,-0.006580482955001923,-0.3933770354866848
-0.098375,-0.006580482955001923,-0.3923703358589212
-0.09835000000000001,-0.006910840500006621,-0.391363636231158
-0.098325,-0.006910840500006771,-0.3906925031459818
-0.0983,-0.007241198045011618,-0.3896858035182182
-0.098275,-0.007901913135021315,-0.3893502369756303
-0.09825,-0.007901913135021315,-0.3886791038904546
-0.09822500000000001,-0.008232270680026013,-0.3880079708052792
-0.0982,-0.00856262822503101,-0.3873368377201031
-0.098175,-0.00856262822503101,-0.3863301380923395
