 Sample   Time     Encoder 3 Pos   Control Effort 1

[    0    0.000               0          0.0000;
     1    0.009               0          1.6004;
     2    0.018               0          1.6004;
     3    0.027               0          1.6004;
     4    0.035              -0          1.6004;
     5    0.044              -2          1.6004;
     6    0.053              -4          1.6004;
     7    0.062              -7          1.6004;
     8    0.071              -9          1.6004;
     9    0.080             -12          1.6004;
    10    0.089             -15          1.6004;
    11    0.097             -18          1.6004;
    12    0.106             -22          1.6004;
    13    0.115             -25          1.6004;
    14    0.124             -29          1.6004;
    15    0.133             -33          1.6004;
    16    0.142             -38          1.6004;
    17    0.151             -43          1.6004;
    18    0.159             -48          1.6004;
    19    0.168             -53          1.6004;
    20    0.177             -59          1.6004;
    21    0.186             -64          1.6004;
    22    0.195             -71          1.6004;
    23    0.204             -77          1.6004;
    24    0.213             -84          1.6004;
    25    0.221             -90          1.6004;
    26    0.230             -97          1.6004;
    27    0.239            -105          1.6004;
    28    0.248            -113          1.6004;
    29    0.257            -121          1.6004;
    30    0.266            -129          1.6004;
    31    0.274            -137          1.6004;
    32    0.283            -146          1.6004;
    33    0.292            -155          1.6004;
    34    0.301            -164          1.6004;
    35    0.310            -174          1.6004;
    36    0.319            -183          1.6004;
    37    0.328            -193          1.6004;
    38    0.336            -204          1.6004;
    39    0.345            -214          1.6004;
    40    0.354            -225          1.6004;
    41    0.363            -236          1.6004;
    42    0.372            -247          1.6004;
    43    0.381            -259          1.6004;
    44    0.390            -271          1.6004;
    45    0.398            -283          1.6004;
    46    0.407            -295          1.6004;
    47    0.416            -307          1.6004;
    48    0.425            -320          1.6004;
    49    0.434            -333          1.6004;
    50    0.443            -347          1.6004;
    51    0.452            -360          1.6004;
    52    0.460            -374          1.6004;
    53    0.469            -388          1.6004;
    54    0.478            -402          1.6004;
    55    0.487            -417          1.6004;
    56    0.496            -432          1.6004;
    57    0.505            -446          1.6004;
    58    0.514            -462          1.6004;
    59    0.522            -477          1.6004;
    60    0.531            -493          1.6004;
    61    0.540            -509          1.6004;
    62    0.549            -525          1.6004;
    63    0.558            -542          1.6004;
    64    0.567            -558          1.6004;
    65    0.576            -575          1.6004;
    66    0.584            -593          1.6004;
    67    0.593            -610          1.6004;
    68    0.602            -628          1.6004;
    69    0.611            -646          1.6004;
    70    0.620            -664          1.6004;
    71    0.629            -683          1.6004;
    72    0.638            -702          1.6004;
    73    0.646            -721          1.6004;
    74    0.655            -740          1.6004;
    75    0.664            -760          1.6004;
    76    0.673            -780          1.6004;
    77    0.682            -800          1.6004;
    78    0.691            -821          1.6004;
    79    0.699            -842          1.6004;
    80    0.708            -863          1.6004;
    81    0.717            -884          1.6004;
    82    0.726            -906          1.6004;
    83    0.735            -928          1.6004;
    84    0.744            -950          1.6004;
    85    0.753            -972          1.6004;
    86    0.761            -995          1.6004;
    87    0.770           -1018          1.6004;
    88    0.779           -1041          1.6004;
    89    0.788           -1065          1.6004;
    90    0.797           -1088          1.6004;
    91    0.806           -1113          1.6004;
    92    0.815           -1137          1.6004;
    93    0.823           -1162          1.6004;
    94    0.832           -1187          1.6004;
    95    0.841           -1212          1.6004;
    96    0.850           -1237          1.6004;
    97    0.859           -1263          1.6004;
    98    0.868           -1289          1.6004;
    99    0.877           -1315          1.6004;
   100    0.885           -1342          1.6004;
   101    0.894           -1369          1.6004;
   102    0.903           -1396          1.6004;
   103    0.912           -1423          1.6004;
   104    0.921           -1451          1.6004;
   105    0.930           -1478          1.6004;
   106    0.939           -1506          1.6004;
   107    0.947           -1535          1.6004;
   108    0.956           -1563          1.6004;
   109    0.965           -1592          1.6004;
   110    0.974           -1621          1.6004;
   111    0.983           -1651          1.6004;
   112    0.992           -1680          1.6004;
   113    1.001           -1710          1.6004;
   114    1.009           -1741          1.6004;
   115    1.018           -1771          1.6004;
   116    1.027           -1802          1.6004;
   117    1.036           -1833          1.6004;
   118    1.045           -1864          1.6004;
   119    1.054           -1896          1.6004;
   120    1.063           -1928          1.6004;
   121    1.071           -1960          1.6004;
   122    1.080           -1993          1.6004;
   123    1.089           -2026          1.6004;
   124    1.098           -2059          1.6004;
   125    1.107           -2093          1.6004;
   126    1.116           -2126          1.6004;
   127    1.124           -2161          1.6004;
   128    1.133           -2195          1.6004;
   129    1.142           -2230          1.6004;
   130    1.151           -2265          1.6004;
   131    1.160           -2300          1.6004;
   132    1.169           -2335          1.6004;
   133    1.178           -2371          1.6004;
   134    1.186           -2407          1.6004;
   135    1.195           -2444          1.6004;
   136    1.204           -2481          1.6004;
   137    1.213           -2518          1.6004;
   138    1.222           -2555          1.6004;
   139    1.231           -2593          1.6004;
   140    1.240           -2631          1.6004;
   141    1.248           -2670          1.6004;
   142    1.257           -2708          1.6004;
   143    1.266           -2747          1.6004;
   144    1.275           -2787          1.6004;
   145    1.284           -2826          1.6004;
   146    1.293           -2866          1.6004;
   147    1.302           -2906          1.6004;
   148    1.310           -2947          1.6004;
   149    1.319           -2988          1.6004;
   150    1.328           -3029          1.6004;
   151    1.337           -3070          1.6004;
   152    1.346           -3112          1.6004;
   153    1.355           -3154          1.6004;
   154    1.364           -3197          1.6004;
   155    1.372           -3240          1.6004;
   156    1.381           -3283          1.6004;
   157    1.390           -3326          1.6004;
   158    1.399           -3370          1.6004;
   159    1.408           -3414          1.6004;
   160    1.417           -3458          1.6004;
   161    1.426           -3503          1.6004;
   162    1.434           -3548          1.6004;
   163    1.443           -3594          1.6004;
   164    1.452           -3640          1.6004;
   165    1.461           -3686          1.6004;
   166    1.470           -3733          1.6004;
   167    1.479           -3780          1.6004;
   168    1.488           -3827          1.6004;
   169    1.496           -3875          1.6004;
   170    1.505           -3923          1.6004;
   171    1.514           -3972          1.6004;
   172    1.523           -4021          1.6004;
   173    1.532           -4070          1.6004;
   174    1.541           -4120          1.6004;
   175    1.549           -4170          1.6004;
   176    1.558           -4220          1.6004;
   177    1.567           -4270          1.6004;
   178    1.576           -4321          1.6004;
   179    1.585           -4372          1.6004;
   180    1.594           -4423          1.6004;
   181    1.603           -4475          1.6004;
   182    1.611           -4527          1.6004;
   183    1.620           -4579          1.6004;
   184    1.629           -4632          1.6004;
   185    1.638           -4685          1.6004;
   186    1.647           -4738          1.6004;
   187    1.656           -4791          1.6004;
   188    1.665           -4845          1.6004;
   189    1.673           -4899          1.6004;
   190    1.682           -4953          1.6004;
   191    1.691           -5008          1.6004;
   192    1.700           -5063          1.6004;
   193    1.709           -5119          1.6004;
   194    1.718           -5174          1.6004;
   195    1.727           -5231          1.6004;
   196    1.735           -5287          1.6004;
   197    1.744           -5344          1.6004;
   198    1.753           -5401          1.6004;
   199    1.762           -5458          1.6004;
   200    1.771           -5516          1.6004;
   201    1.780           -5574          1.6004;
   202    1.789           -5632          1.6004;
   203    1.797           -5691          1.6004;
   204    1.806           -5750          1.6004;
   205    1.815           -5809          1.6004;
   206    1.824           -5869          1.6004;
   207    1.833           -5929          1.6004;
   208    1.842           -5990          1.6004;
   209    1.851           -6051          1.6004;
   210    1.859           -6112          1.6004;
   211    1.868           -6173          1.6004;
   212    1.877           -6235          1.6004;
   213    1.886           -6298          1.6004;
   214    1.895           -6360          1.6004;
   215    1.904           -6423          1.6004;
   216    1.913           -6487          1.6004;
   217    1.921           -6550          1.6004;
   218    1.930           -6614          1.6004;
   219    1.939           -6678          1.6004;
   220    1.948           -6742          1.6004;
   221    1.957           -6807          1.6004;
   222    1.966           -6872          1.6004;
   223    1.974           -6937          1.6004;
   224    1.983           -7002          1.6004;
   225    1.992           -7068          1.6004;
   226    2.001           -7134          1.6004;
   227    2.010           -7200          1.6004;
   228    2.019           -7266          1.6004;
   229    2.028           -7333          1.6004;
   230    2.036           -7400          1.6004;
   231    2.045           -7468          1.6004;
   232    2.054           -7535          1.6004;
   233    2.063           -7603          1.6004;
   234    2.072           -7672          1.6004;
   235    2.081           -7740          1.6004;
   236    2.090           -7809          1.6004;
   237    2.098           -7878          1.6004;
   238    2.107           -7947          1.6004;
   239    2.116           -8017          1.6004;
   240    2.125           -8087          1.6004;
   241    2.134           -8157          1.6004;
   242    2.143           -8227          1.6004;
   243    2.152           -8297          1.6004;
   244    2.160           -8368          1.6004;
   245    2.169           -8439          1.6004;
   246    2.178           -8510          1.6004;
   247    2.187           -8581          1.6004;
   248    2.196           -8652          1.6004;
   249    2.205           -8724          1.6004;
   250    2.214           -8796          1.6004;
   251    2.222           -8868          1.6004;
   252    2.231           -8940          1.6004;
   253    2.240           -9012          1.6004;
   254    2.249           -9085          1.6004;
   255    2.258           -9158          1.6004;
   256    2.267           -9231          1.6004;
   257    2.276           -9304          1.6004;
   258    2.284           -9377          1.6004;
   259    2.293           -9451          1.6004;
   260    2.302           -9524          1.6004;
   261    2.311           -9598          1.6004;
   262    2.320           -9672          1.6004;
   263    2.329           -9746          1.6004;
   264    2.338           -9820          1.6004;
   265    2.346           -9895          1.6004;
   266    2.355           -9970          1.6004;
   267    2.364          -10044          1.6004;
   268    2.373          -10120          1.6004;
   269    2.382          -10195          1.6004;
   270    2.391          -10270          1.6004;
   271    2.399          -10345          1.6004;
   272    2.408          -10421          1.6004;
   273    2.417          -10497          1.6004;
   274    2.426          -10572          1.6004;
   275    2.435          -10648          1.6004;
   276    2.444          -10724          1.6004;
   277    2.453          -10800          1.6004;
   278    2.461          -10877          1.6004;
   279    2.470          -10953          1.6004;
   280    2.479          -11030          1.6004;
   281    2.488          -11106          1.6004;
   282    2.497          -11183          1.6004;
   283    2.506          -11260          1.6004;
   284    2.515          -11337          1.6004;
   285    2.523          -11415          1.6004;
   286    2.532          -11492          1.6004;
   287    2.541          -11570          1.6004;
   288    2.550          -11648          1.6004;
   289    2.559          -11725          1.6004;
   290    2.568          -11803          1.6004;
   291    2.577          -11881          1.6004;
   292    2.585          -11959          1.6004;
   293    2.594          -12037          1.6004;
   294    2.603          -12115          1.6004;
   295    2.612          -12193          1.6004;
   296    2.621          -12270          1.6004;
   297    2.630          -12349          1.6004;
   298    2.639          -12427          1.6004;
   299    2.647          -12507          1.6004;
   300    2.656          -12586          1.6004;
   301    2.665          -12665          1.6004;
   302    2.674          -12744          1.6004;
   303    2.683          -12823          1.6004;
   304    2.692          -12902          1.6004;
   305    2.701          -12982          1.6004;
   306    2.709          -13062          1.6004;
   307    2.718          -13142          1.6004;
   308    2.727          -13222          1.6004;
   309    2.736          -13301          1.6004;
   310    2.745          -13381          1.6004;
   311    2.754          -13462          1.6004;
   312    2.763          -13543          1.6004;
   313    2.771          -13624          1.6004;
   314    2.780          -13705          1.6004;
   315    2.789          -13786          1.6004;
   316    2.798          -13867          1.6004;
   317    2.807          -13948          1.6004;
   318    2.816          -14030          1.6004;
   319    2.824          -14112          1.6004;
   320    2.833          -14194          1.6004;
   321    2.842          -14276          1.6004;
   322    2.851          -14358          1.6004;
   323    2.860          -14440          1.6004;
   324    2.869          -14522          1.6004;
   325    2.878          -14605          1.6004;
   326    2.886          -14687          1.6004;
   327    2.895          -14770          1.6004;
   328    2.904          -14852          1.6004;
   329    2.913          -14935          1.6004;
   330    2.922          -15019          1.6004;
   331    2.931          -15102          1.6004;
   332    2.940          -15186          1.6004;
   333    2.948          -15270          1.6004;
   334    2.957          -15353          1.6004;
   335    2.966          -15437          1.6004;
   336    2.975          -15521          1.6004;
   337    2.984          -15606          1.6004;
   338    2.993          -15690          1.6004;
   339    3.002          -15775          1.6004;
   340    3.010          -15859          1.6004;
   341    3.019          -15944          1.6004;
   342    3.028          -16029          1.6004;
   343    3.037          -16115          1.6004;
   344    3.046          -16200          1.6004;
   345    3.055          -16286          1.6004;
   346    3.064          -16372          1.6004;
   347    3.072          -16458          1.6004;
   348    3.081          -16544          1.6004;
   349    3.090          -16631          1.6004;
   350    3.099          -16718          1.6004;
   351    3.108          -16805          1.6004;
   352    3.117          -16892          1.6004;
   353    3.126          -16980          1.6004;
   354    3.134          -17068          1.6004;
   355    3.143          -17155          1.6004;
   356    3.152          -17244          1.6004;
   357    3.161          -17332          1.6004;
   358    3.170          -17421          1.6004;
