 Sample   Time     Encoder 3 Pos   Control Effort 1

[    0    0.000               0          0.0000;
     1    0.009               0          1.7005;
     2    0.018              -0          1.7005;
     3    0.027              -1          1.7005;
     4    0.035              -3          1.7005;
     5    0.044              -4          1.7005;
     6    0.053              -7          1.7005;
     7    0.062              -9          1.7005;
     8    0.071             -12          1.7005;
     9    0.080             -15          1.7005;
    10    0.089             -19          1.7005;
    11    0.097             -22          1.7005;
    12    0.106             -26          1.7005;
    13    0.115             -31          1.7005;
    14    0.124             -35          1.7005;
    15    0.133             -40          1.7005;
    16    0.142             -45          1.7005;
    17    0.151             -51          1.7005;
    18    0.159             -57          1.7005;
    19    0.168             -63          1.7005;
    20    0.177             -69          1.7005;
    21    0.186             -76          1.7005;
    22    0.195             -83          1.7005;
    23    0.204             -90          1.7005;
    24    0.213             -97          1.7005;
    25    0.221            -105          1.7005;
    26    0.230            -113          1.7005;
    27    0.239            -121          1.7005;
    28    0.248            -129          1.7005;
    29    0.257            -138          1.7005;
    30    0.266            -147          1.7005;
    31    0.274            -156          1.7005;
    32    0.283            -165          1.7005;
    33    0.292            -175          1.7005;
    34    0.301            -184          1.7005;
    35    0.310            -195          1.7005;
    36    0.319            -205          1.7005;
    37    0.328            -216          1.7005;
    38    0.336            -226          1.7005;
    39    0.345            -237          1.7005;
    40    0.354            -248          1.7005;
    41    0.363            -260          1.7005;
    42    0.372            -272          1.7005;
    43    0.381            -284          1.7005;
    44    0.390            -296          1.7005;
    45    0.398            -308          1.7005;
    46    0.407            -321          1.7005;
    47    0.416            -333          1.7005;
    48    0.425            -347          1.7005;
    49    0.434            -360          1.7005;
    50    0.443            -373          1.7005;
    51    0.452            -387          1.7005;
    52    0.460            -401          1.7005;
    53    0.469            -415          1.7005;
    54    0.478            -430          1.7005;
    55    0.487            -444          1.7005;
    56    0.496            -459          1.7005;
    57    0.505            -474          1.7005;
    58    0.514            -489          1.7005;
    59    0.522            -505          1.7005;
    60    0.531            -521          1.7005;
    61    0.540            -536          1.7005;
    62    0.549            -553          1.7005;
    63    0.558            -569          1.7005;
    64    0.567            -585          1.7005;
    65    0.576            -602          1.7005;
    66    0.584            -619          1.7005;
    67    0.593            -636          1.7005;
    68    0.602            -653          1.7005;
    69    0.611            -671          1.7005;
    70    0.620            -689          1.7005;
    71    0.629            -707          1.7005;
    72    0.638            -725          1.7005;
    73    0.646            -743          1.7005;
    74    0.655            -761          1.7005;
    75    0.664            -780          1.7005;
    76    0.673            -799          1.7005;
    77    0.682            -818          1.7005;
    78    0.691            -838          1.7005;
    79    0.699            -857          1.7005;
    80    0.708            -877          1.7005;
    81    0.717            -897          1.7005;
    82    0.726            -917          1.7005;
    83    0.735            -937          1.7005;
    84    0.744            -958          1.7005;
    85    0.753            -978          1.7005;
    86    0.761            -999          1.7005;
    87    0.770           -1020          1.7005;
    88    0.779           -1042          1.7005;
    89    0.788           -1063          1.7005;
    90    0.797           -1085          1.7005;
    91    0.806           -1107          1.7005;
    92    0.815           -1129          1.7005;
    93    0.823           -1151          1.7005;
    94    0.832           -1173          1.7005;
    95    0.841           -1196          1.7005;
    96    0.850           -1219          1.7005;
    97    0.859           -1241          1.7005;
    98    0.868           -1265          1.7005;
    99    0.877           -1288          1.7005;
   100    0.885           -1312          1.7005;
   101    0.894           -1336          1.7005;
   102    0.903           -1360          1.7005;
   103    0.912           -1384          1.7005;
   104    0.921           -1408          1.7005;
   105    0.930           -1433          1.7005;
   106    0.939           -1458          1.7005;
   107    0.947           -1483          1.7005;
   108    0.956           -1508          1.7005;
   109    0.965           -1534          1.7005;
   110    0.974           -1560          1.7005;
   111    0.983           -1585          1.7005;
   112    0.992           -1612          1.7005;
   113    1.001           -1638          1.7005;
   114    1.009           -1665          1.7005;
   115    1.018           -1692          1.7005;
   116    1.027           -1719          1.7005;
   117    1.036           -1746          1.7005;
   118    1.045           -1773          1.7005;
   119    1.054           -1801          1.7005;
   120    1.063           -1829          1.7005;
   121    1.071           -1857          1.7005;
   122    1.080           -1886          1.7005;
   123    1.089           -1915          1.7005;
   124    1.098           -1943          1.7005;
   125    1.107           -1972          1.7005;
   126    1.116           -2001          1.7005;
   127    1.124           -2031          1.7005;
   128    1.133           -2060          1.7005;
   129    1.142           -2090          1.7005;
   130    1.151           -2120          1.7005;
   131    1.160           -2150          1.7005;
   132    1.169           -2181          1.7005;
   133    1.178           -2211          1.7005;
   134    1.186           -2242          1.7005;
   135    1.195           -2273          1.7005;
   136    1.204           -2304          1.7005;
   137    1.213           -2335          1.7005;
   138    1.222           -2366          1.7005;
   139    1.231           -2398          1.7005;
   140    1.240           -2430          1.7005;
   141    1.248           -2462          1.7005;
   142    1.257           -2494          1.7005;
   143    1.266           -2527          1.7005;
   144    1.275           -2560          1.7005;
   145    1.284           -2592          1.7005;
   146    1.293           -2625          1.7005;
   147    1.302           -2659          1.7005;
   148    1.310           -2692          1.7005;
   149    1.319           -2726          1.7005;
   150    1.328           -2760          1.7005;
   151    1.337           -2794          1.7005;
   152    1.346           -2828          1.7005;
   153    1.355           -2863          1.7005;
   154    1.364           -2898          1.7005;
   155    1.372           -2932          1.7005;
   156    1.381           -2967          1.7005;
   157    1.390           -3003          1.7005;
   158    1.399           -3038          1.7005;
   159    1.408           -3073          1.7005;
   160    1.417           -3109          1.7005;
   161    1.426           -3145          1.7005;
   162    1.434           -3180          1.7005;
   163    1.443           -3216          1.7005;
   164    1.452           -3253          1.7005;
   165    1.461           -3289          1.7005;
   166    1.470           -3325          1.7005;
   167    1.479           -3361          1.7005;
   168    1.488           -3398          1.7005;
   169    1.496           -3435          1.7005;
   170    1.505           -3472          1.7005;
   171    1.514           -3508          1.7005;
   172    1.523           -3545          1.7005;
   173    1.532           -3583          1.7005;
   174    1.541           -3620          1.7005;
   175    1.549           -3657          1.7005;
   176    1.558           -3695          1.7005;
   177    1.567           -3733          1.7005;
   178    1.576           -3771          1.7005;
   179    1.585           -3809          1.7005;
   180    1.594           -3847          1.7005;
   181    1.603           -3885          1.7005;
   182    1.611           -3923          1.7005;
   183    1.620           -3962          1.7005;
   184    1.629           -4000          1.7005;
   185    1.638           -4039          1.7005;
   186    1.647           -4077          1.7005;
   187    1.656           -4116          1.7005;
   188    1.665           -4154          1.7005;
   189    1.673           -4194          1.7005;
   190    1.682           -4233          1.7005;
   191    1.691           -4274          1.7005;
   192    1.700           -4314          1.7005;
   193    1.709           -4354          1.7005;
   194    1.718           -4394          1.7005;
   195    1.727           -4435          1.7005;
   196    1.735           -4476          1.7005;
   197    1.744           -4517          1.7005;
   198    1.753           -4559          1.7005;
   199    1.762           -4600          1.7005;
   200    1.771           -4642          1.7005;
   201    1.780           -4684          1.7005;
   202    1.789           -4726          1.7005;
   203    1.797           -4768          1.7005;
   204    1.806           -4811          1.7005;
   205    1.815           -4853          1.7005;
   206    1.824           -4896          1.7005;
   207    1.833           -4939          1.7005;
   208    1.842           -4981          1.7005;
   209    1.851           -5024          1.7005;
   210    1.859           -5068          1.7005;
   211    1.868           -5111          1.7005;
   212    1.877           -5154          1.7005;
   213    1.886           -5197          1.7005;
   214    1.895           -5241          1.7005;
   215    1.904           -5285          1.7005;
   216    1.913           -5329          1.7005;
   217    1.921           -5373          1.7005;
   218    1.930           -5417          1.7005;
   219    1.939           -5462          1.7005;
   220    1.948           -5506          1.7005;
   221    1.957           -5551          1.7005;
   222    1.966           -5596          1.7005;
   223    1.974           -5641          1.7005;
   224    1.983           -5687          1.7005;
   225    1.992           -5732          1.7005;
   226    2.001           -5778          1.7005;
   227    2.010           -5824          1.7005;
   228    2.019           -5871          1.7005;
   229    2.028           -5917          1.7005;
   230    2.036           -5964          1.7005;
   231    2.045           -6011          1.7005;
   232    2.054           -6058          1.7005;
   233    2.063           -6105          1.7005;
   234    2.072           -6153          1.7005;
   235    2.081           -6201          1.7005;
   236    2.090           -6249          1.7005;
   237    2.098           -6297          1.7005;
   238    2.107           -6345          1.7005;
   239    2.116           -6394          1.7005;
   240    2.125           -6442          1.7005;
   241    2.134           -6491          1.7005;
   242    2.143           -6540          1.7005;
   243    2.152           -6589          1.7005;
   244    2.160           -6638          1.7005;
   245    2.169           -6687          1.7005;
   246    2.178           -6736          1.7005;
   247    2.187           -6786          1.7005;
   248    2.196           -6835          1.7005;
   249    2.205           -6885          1.7005;
   250    2.214           -6935          1.7005;
   251    2.222           -6985          1.7005;
   252    2.231           -7036          1.7005;
   253    2.240           -7086          1.7005;
   254    2.249           -7137          1.7005;
   255    2.258           -7188          1.7005;
   256    2.267           -7239          1.7005;
   257    2.276           -7290          1.7005;
   258    2.284           -7342          1.7005;
   259    2.293           -7393          1.7005;
   260    2.302           -7445          1.7005;
   261    2.311           -7498          1.7005;
   262    2.320           -7550          1.7005;
   263    2.329           -7603          1.7005;
   264    2.338           -7656          1.7005;
   265    2.346           -7709          1.7005;
   266    2.355           -7762          1.7005;
   267    2.364           -7816          1.7005;
   268    2.373           -7869          1.7005;
   269    2.382           -7924          1.7005;
   270    2.391           -7978          1.7005;
   271    2.399           -8033          1.7005;
   272    2.408           -8087          1.7005;
   273    2.417           -8143          1.7005;
   274    2.426           -8198          1.7005;
   275    2.435           -8254          1.7005;
   276    2.444           -8309          1.7005;
   277    2.453           -8366          1.7005;
   278    2.461           -8422          1.7005;
   279    2.470           -8479          1.7005;
   280    2.479           -8536          1.7005;
   281    2.488           -8594          1.7005;
   282    2.497           -8651          1.7005;
   283    2.506           -8709          1.7005;
   284    2.515           -8768          1.7005;
   285    2.523           -8826          1.7005;
   286    2.532           -8885          1.7005;
   287    2.541           -8944          1.7005;
   288    2.550           -9004          1.7005;
   289    2.559           -9063          1.7005;
   290    2.568           -9123          1.7005;
   291    2.577           -9183          1.7005;
   292    2.585           -9244          1.7005;
   293    2.594           -9304          1.7005;
   294    2.603           -9365          1.7005;
   295    2.612           -9426          1.7005;
   296    2.621           -9487          1.7005;
   297    2.630           -9547          1.7005;
   298    2.639           -9609          1.7005;
   299    2.647           -9671          1.7005;
   300    2.656           -9734          1.7005;
   301    2.665           -9797          1.7005;
   302    2.674           -9861          1.7005;
   303    2.683           -9925          1.7005;
   304    2.692           -9989          1.7005;
   305    2.701          -10053          1.7005;
   306    2.709          -10118          1.7005;
   307    2.718          -10183          1.7005;
   308    2.727          -10249          1.7005;
   309    2.736          -10314          1.7005;
   310    2.745          -10381          1.7005;
   311    2.754          -10447          1.7005;
   312    2.763          -10514          1.7005;
   313    2.771          -10581          1.7005;
   314    2.780          -10649          1.7005;
   315    2.789          -10717          1.7005;
   316    2.798          -10785          1.7005;
   317    2.807          -10853          1.7005;
   318    2.816          -10922          1.7005;
   319    2.824          -10990          1.7005;
   320    2.833          -11060          1.7005;
   321    2.842          -11129          1.7005;
   322    2.851          -11199          1.7005;
   323    2.860          -11269          1.7005;
   324    2.869          -11340          1.7005;
   325    2.878          -11411          1.7005;
   326    2.886          -11482          1.7005;
   327    2.895          -11554          1.7005;
   328    2.904          -11626          1.7005;
   329    2.913          -11698          1.7005;
   330    2.922          -11771          1.7005;
   331    2.931          -11844          1.7005;
   332    2.940          -11918          1.7005;
   333    2.948          -11992          1.7005;
   334    2.957          -12067          1.7005;
   335    2.966          -12141          1.7005;
   336    2.975          -12216          1.7005;
   337    2.984          -12292          1.7005;
   338    2.993          -12368          1.7005;
   339    3.002          -12444          1.7005;
   340    3.010          -12521          1.7005;
   341    3.019          -12597          1.7005;
   342    3.028          -12675          1.7005;
   343    3.037          -12752          1.7005;
   344    3.046          -12830          1.7005;
   345    3.055          -12908          1.7005;
   346    3.064          -12987          1.7005;
   347    3.072          -13066          1.7005;
   348    3.081          -13145          1.7005;
   349    3.090          -13225          1.7005;
   350    3.099          -13305          1.7005;
   351    3.108          -13385          1.7005;
   352    3.117          -13466          1.7005;
   353    3.126          -13547          1.7005;
   354    3.134          -13629          1.7005;
   355    3.143          -13711          1.7005;
   356    3.152          -13793          1.7005;
   357    3.161          -13876          1.7005;
   358    3.170          -13958          1.7005;
