 Sample   Time     Encoder 2 Pos   Encoder 4 Pos   Control Effort 2

[    0    0.000               1             286         -0.0052;
     1    0.044              77             286          2.1093;
     2    0.089             272             251          1.6774;
     3    0.133             440             172          1.5516;
     4    0.177             470              69          1.7802;
     5    0.221             362             -24          2.1374;
     6    0.266             224             -85          2.3226;
     7    0.310             165            -121          2.2344;
     8    0.354             209            -156          2.0073;
     9    0.398             301            -208          1.8294;
    10    0.443             368            -279          1.8080;
    11    0.487             368            -356          1.9304;
    12    0.531             317            -428          2.0650;
    13    0.576             269            -486          2.1010;
    14    0.620             264            -537          2.0235;
    15    0.664             292            -591          1.9515;
    16    0.708             317            -651          1.9328;
    17    0.753             326            -715          1.9451;
    18    0.797             317            -777          1.9838;
    19    0.841             308            -838          1.9915;
    20    0.885             308            -896          1.9802;
    21    0.930             315            -955          1.9530;
    22    0.974             319           -1015          1.9731;
    23    1.018             315           -1075          1.9765;
    24    1.063             315           -1132          1.9686;
    25    1.107             320           -1191          1.9496;
    26    1.151             320           -1250          1.9603;
    27    1.195             317           -1307          1.9646;
    28    1.240             322           -1364          1.9490;
    29    1.284             325           -1423          1.9512;
    30    1.328             322           -1480          1.9603;
    31    1.372             325           -1536          1.9457;
    32    1.417             329           -1593          1.9402;
    33    1.461             330           -1651          1.9698;
    34    1.505             328           -1707          1.9463;
    35    1.549             332           -1763          1.9307;
    36    1.594             337           -1819          1.9258;
    37    1.638             336           -1876          1.9338;
    38    1.682             336           -1931          1.9222;
    39    1.727             340           -1987          1.9197;
    40    1.771             342           -2043          1.9231;
    41    1.815             341           -2098          1.9255;
    42    1.859             344           -2153          1.9115;
    43    1.904             349           -2209          1.9048;
    44    1.948             348           -2264          1.9115;
    45    1.992             349           -2319          1.8944;
    46    2.036             353           -2374          1.8956;
    47    2.081             356           -2429          1.8965;
    48    2.125             353           -2484          1.9078;
    49    2.169             356           -2538          1.8898;
    50    2.214             360           -2592          1.8874;
    51    2.258             358           -2647          1.9057;
    52    2.302             359           -2700          1.8828;
    53    2.346             364           -2754          1.8776;
    54    2.391             367           -2808          1.8816;
    55    2.435             365           -2862          1.8889;
    56    2.479             369           -2915          1.8706;
    57    2.523             373           -2968          1.8660;
    58    2.568             373           -3022          1.8724;
    59    2.612             373           -3075          1.8724;
    60    2.656             377           -3128          1.8584;
    61    2.701             381           -3181          1.8565;
    62    2.745             379           -3234          1.8672;
    63    2.789             381           -3287          1.8462;
    64    2.833             387           -3339          1.8385;
    65    2.878             389           -3392          1.8449;
    66    2.922             388           -3445          1.8474;
    67    2.966             391           -3497          1.8288;
    68    3.010             391           -3550         -0.5717;
    69    3.055             280           -3594         -0.1609;
    70    3.099              77           -3601          0.2192;
    71    3.143             -60           -3563          0.2311;
    72    3.188             -46           -3511         -0.0553;
    73    3.232              77           -3477         -0.3678;
    74    3.276             200           -3471         -0.4994;
    75    3.320             236           -3487         -0.3666;
    76    3.365             173           -3499         -0.1371;
    77    3.409              84           -3493         -0.0021;
    78    3.453              41           -3469         -0.0443;
    79    3.497              62           -3443         -0.1728;
    80    3.542             110           -3426         -0.2674;
    81    3.586             147           -3420         -0.2811;
    82    3.630             146           -3419         -0.2134;
    83    3.674             117           -3414         -0.1368;
    84    3.719              92           -3402         -0.1209;
    85    3.763              91           -3388         -0.1679;
    86    3.807             102           -3376         -0.1859;
    87    3.852             107           -3366         -0.1777;
    88    3.896             105           -3357         -0.1600;
    89    3.940             102           -3347         -0.1664;
    90    3.984             100           -3337         -0.1618;
    91    4.029             100           -3327         -0.1847;
    92    4.073             101           -3317         -0.1700;
    93    4.117             100           -3308         -0.1529;
    94    4.161              95           -3299         -0.1517;
    95    4.206              97           -3289         -0.1706;
    96    4.250              99           -3280         -0.1542;
    97    4.294              95           -3272         -0.1477;
    98    4.339              92           -3263         -0.1526;
    99    4.383              95           -3254         -0.1633;
   100    4.427              95           -3246         -0.1569;
   101    4.471              90           -3237         -0.1435;
   102    4.516              91           -3229         -0.1566;
   103    4.560              93           -3221         -0.1545;
   104    4.604              89           -3213         -0.1374;
   105    4.648              88           -3205         -0.1651;
   106    4.693              89           -3197         -0.1520;
   107    4.737              88           -3189         -0.1343;
   108    4.781              84           -3182         -0.1364;
   109    4.826              85           -3174         -0.1404;
   110    4.870              86           -3167         -0.1429;
   111    4.914              82           -3160         -0.1297;
   112    4.958              80           -3153         -0.1328;
   113    5.003              82           -3145         -0.1401;
   114    5.047              81           -3139         -0.1209;
   115    5.091              77           -3132         -0.1221;
   116    5.135              78           -3125         -0.1288;
   117    5.180              79           -3119         -0.1337;
   118    5.224              76           -3113         -0.1206;
   119    5.268              73           -3106         -0.1181;
   120    5.313              75           -3100         -0.1340;
   121    5.357              74           -3093         -0.1123;
   122    5.401              71           -3088         -0.1129;
   123    5.445              70           -3081         -0.1163;
   124    5.490              72           -3076         -0.1187;
   125    5.534              68           -3069         -0.1065;
   126    5.578              65           -3064         -0.1020;
   127    5.622              67           -3057         -0.1105;
   128    5.667              67           -3052         -0.1105;
   129    5.711              63           -3047         -0.0992;
   130    5.755              61           -3041         -0.1013;
   131    5.799              64           -3036         -0.1093;
   132    5.844              61           -3030         -0.0934;
   133    5.888              57           -3025         -0.0900;
   134    5.932              59           -3019         -0.0971]
