 Sample   Time     Encoder 2 Pos   Encoder 4 Pos   Control Effort 2

[    0    0.000             -28              85          0.0198;
     1    0.044              55              83          2.1462;
     2    0.089             251              46          1.7170;
     3    0.133             413             -36          1.6120;
     4    0.177             435            -139          1.8370;
     5    0.221             331            -231          2.1743;
     6    0.266             198            -294          2.3581;
     7    0.310             141            -331          2.2824;
     8    0.354             187            -367          2.0446;
     9    0.398             281            -422          1.8700;
    10    0.443             344            -494          1.8553;
    11    0.487             341            -573          1.9716;
    12    0.531             294            -645          2.0940;
    13    0.576             248            -704          2.1386;
    14    0.620             240            -757          2.0769;
    15    0.664             268            -811          1.9881;
    16    0.708             296            -873          1.9615;
    17    0.753             303            -938          1.9869;
    18    0.797             294           -1002          2.0168;
    19    0.841             288           -1064          2.0165;
    20    0.885             289           -1125          1.9844;
    21    0.930             292           -1185          1.9976;
    22    0.974             296           -1246          1.9927;
    23    1.018             295           -1307          2.0095;
    24    1.063             293           -1367          2.0052;
    25    1.107             296           -1426          1.9896;
    26    1.151             300           -1486          1.9875;
    27    1.195             298           -1545          2.0101;
    28    1.240             298           -1603          1.9960;
    29    1.284             303           -1662          1.9783;
    30    1.328             304           -1722          2.0064;
    31    1.372             302           -1779          1.9939;
    32    1.417             305           -1838          1.9753;
    33    1.461             309           -1895          1.9707;
    34    1.505             309           -1954          1.9777;
    35    1.549             308           -2011          1.9802;
    36    1.594             313           -2069          1.9658;
    37    1.638             316           -2126          1.9652;
    38    1.682             314           -2184          1.9731;
    39    1.727             316           -2241          1.9527;
    40    1.771             320           -2298          1.9512;
    41    1.815             320           -2355          1.9570;
    42    1.859             320           -2412          1.9362;
    43    1.904             324           -2469          1.9457;
    44    1.948             326           -2526          1.9487;
    45    1.992             324           -2582          1.9640;
    46    2.036             327           -2638          1.9451;
    47    2.081             331           -2694          1.9307;
    48    2.125             331           -2751          1.9670;
    49    2.169             330           -2807          1.9438;
    50    2.214             334           -2862          1.9286;
    51    2.258             338           -2918          1.9280;
    52    2.302             336           -2974          1.9359;
    53    2.346             338           -3029          1.9209;
    54    2.391             342           -3085          1.9139;
    55    2.435             342           -3141          1.9490;
    56    2.479             341           -3195          1.9255;
    57    2.523             345           -3250          1.9096;
    58    2.568             348           -3306          1.9121;
    59    2.612             347           -3361          1.9145;
    60    2.656             348           -3415          1.9130;
    61    2.701             352           -3470          1.8990;
    62    2.745             353           -3524          1.9038;
    63    2.789             352           -3578          1.9063;
    64    2.833             356           -3632          1.8910;
    65    2.878             359           -3687          1.8938;
    66    2.922             358           -3741          1.9069;
    67    2.966             359           -3795          1.8947;
    68    3.010             359           -3849         -0.5259;
    69    3.055             249           -3894         -0.1163;
    70    3.099              44           -3903          0.2729;
    71    3.143             -94           -3865          0.2912;
    72    3.188             -77           -3815         -0.0061;
    73    3.232              49           -3783         -0.3266;
    74    3.276             170           -3781         -0.4414;
    75    3.320             202           -3798         -0.3242;
    76    3.365             140           -3811         -0.0876;
    77    3.409              50           -3807          0.0601;
    78    3.453               4           -3784          0.0223;
    79    3.497              28           -3760         -0.1227;
    80    3.542              80           -3745         -0.2210;
    81    3.586             114           -3742         -0.2189;
    82    3.630             111           -3742         -0.1526;
    83    3.674              83           -3740         -0.0846;
    84    3.719              57           -3731         -0.0678;
    85    3.763              53           -3718         -0.1145;
    86    3.807              66           -3708         -0.1337;
    87    3.852              74           -3701         -0.1310;
    88    3.896              68           -3694         -0.1007;
    89    3.940              64           -3687         -0.1010;
    90    3.984              64           -3679         -0.1053;
    91    4.029              63           -3672         -0.1041;
    92    4.073              63           -3665         -0.1032;
    93    4.117              64           -3659         -0.1062;
    94    4.161              61           -3654         -0.0937;
    95    4.206              58           -3648         -0.0907;
    96    4.250              59           -3642         -0.0980;
    97    4.294              58           -3636         -0.0965;
    98    4.339              54           -3632         -0.0833;
    99    4.383              53           -3626         -0.0873;
   100    4.427              54           -3621         -0.0897;
   101    4.471              52           -3617         -0.0791;
   102    4.516              48           -3612         -0.0751;
   103    4.560              49           -3607         -0.0788;
   104    4.604              48           -3603         -0.0797;
   105    4.648              45           -3599         -0.0668;
   106    4.693              43           -3595         -0.0705;
   107    4.737              43           -3591         -0.0705;
   108    4.781              41           -3587         -0.0491;
   109    4.826              38           -3584         -0.0568;
   110    4.870              37           -3580         -0.0607;
   111    4.914              37           -3576         -0.0614;
   112    4.958              34           -3573         -0.0495;
   113    5.003              31           -3570         -0.0467;
   114    5.047              32           -3566         -0.0797;
   115    5.091              30           -3564         -0.0476;
   116    5.135              27           -3561         -0.0385;
   117    5.180              25           -3557         -0.0406;
   118    5.224              25           -3555         -0.0238;
   119    5.268              22           -3552         -0.0275;
   120    5.313              19           -3550         -0.0299;
   121    5.357              20           -3547         -0.0333;
   122    5.401              18           -3545         -0.0189;
   123    5.445              14           -3543         -0.0180;
   124    5.490              13           -3540         -0.0208;
   125    5.534              13           -3538         -0.0208;
   126    5.578              10           -3536         -0.0098;
   127    5.622               7           -3535         -0.0061;
   128    5.667               7           -3532         -0.0107;
   129    5.711               6           -3531         -0.0101;
   130    5.755               2           -3530          0.0021;
   131    5.799               1           -3528         -0.0009;
   132    5.844               1           -3526         -0.0009;
   133    5.888              -2           -3525          0.0104;
   134    5.932              -5           -3524          0.0143]
