 Sample   Time     Encoder 2 Pos   Encoder 4 Pos   Control Effort 2

[    0    0.000              -9              54          0.0000;
     1    0.044              84              55          3.0006;
     2    0.089             365              12          3.0006;
     3    0.133             675            -103          3.0006;
     4    0.177             830            -273          3.0006;
     5    0.221             748            -452          3.0006;
     6    0.266             493            -590          3.0006;
     7    0.310             216            -664          3.0006;
     8    0.354              83            -688          3.0006;
     9    0.398             176            -705          3.0006;
    10    0.443             427            -764          3.0006;
    11    0.487             678            -882          3.0006;
    12    0.531             785           -1043          3.0006;
    13    0.576             697           -1206          3.0006;
    14    0.620             475           -1332          3.0006;
    15    0.664             250           -1404          3.0006;
    16    0.708             163           -1437          3.0006;
    17    0.753             261           -1471          3.0006;
    18    0.797             471           -1541          3.0006;
    19    0.841             669           -1659          3.0006;
    20    0.885             742           -1809          3.0006;
    21    0.930             654           -1957          3.0006;
    22    0.974             468           -2073          3.0006;
    23    1.018             298           -2144          3.0006;
    24    1.063             250           -2189          3.0006;
    25    1.107             341           -2239          3.0006;
    26    1.151             508           -2319          3.0006;
    27    1.195             653           -2436          3.0006;
    28    1.240             692           -2574          3.0006;
    29    1.284             608           -2707          3.0006;
    30    1.328             466           -2812          3.0006;
    31    1.372             351           -2885          3.0006;
    32    1.417             332           -2943          3.0006;
    33    1.461             412           -3007          3.0006;
    34    1.505             538           -3094          3.0006;
    35    1.549             634           -3208          3.0006;
    36    1.594             642           -3334          3.0006;
    37    1.638             573           -3452          3.0006;
    38    1.682             478           -3550          3.0006;
    39    1.727             410           -3628          3.0006;
    40    1.771             409           -3697          3.0006;
    41    1.815             471           -3772          3.0006;
    42    1.859             555           -3865          3.0006;
    43    1.904             606           -3973          3.0006;
    44    1.948             601           -4086          3.0006;
    45    1.992             558           -4193          3.0006;
    46    2.036             505           -4288          3.0006;
    47    2.081             473           -4371          3.0006;
    48    2.125             483           -4452          3.0006;
    49    2.169             523           -4537          3.0006;
    50    2.214             564           -4632          3.0006;
    51    2.258             582           -4734          3.0006;
    52    2.302             572           -4836          3.0006;
    53    2.346             549           -4933          3.0006;
    54    2.391             532           -5025          3.0006;
    55    2.435             535           -5115          3.0006;
    56    2.479             552           -5206          3.0006;
    57    2.523             563           -5300          3.0006;
    58    2.568             563           -5396          3.0006;
    59    2.612             560           -5489          3.0006;
    60    2.656             559           -5583          3.0006;
    61    2.701             560           -5675          3.0006;
    62    2.745             564           -5768          3.0006;
    63    2.789             569           -5860          3.0006;
    64    2.833             566           -5953          3.0006;
    65    2.878             566           -6044          3.0006;
    66    2.922             572           -6136          3.0006;
    67    2.966             575           -6229          3.0006;
    68    3.010             567           -6321          0.0000;
    69    3.055             434           -6402          0.0000;
    70    3.099             140           -6433          0.0000;
    71    3.143            -143           -6394          0.0000;
    72    3.188            -242           -6309          0.0000;
    73    3.232             -99           -6228          0.0000;
    74    3.276             182           -6198          0.0000;
    75    3.320             425           -6231          0.0000;
    76    3.365             484           -6301          0.0000;
    77    3.409             337           -6361          0.0000;
    78    3.453              80           -6374          0.0000;
    79    3.497            -129           -6329          0.0000;
    80    3.542            -158           -6254          0.0000;
    81    3.586              -2           -6195          0.0000;
    82    3.630             230           -6181          0.0000;
    83    3.674             396           -6217          0.0000;
    84    3.719             399           -6275          0.0000;
    85    3.763             246           -6313          0.0000;
    86    3.807              38           -6310          0.0000;
    87    3.852             -91           -6263          0.0000;
    88    3.896             -67           -6205          0.0000;
    89    3.940              80           -6166          0.0000;
    90    3.984             254           -6165          0.0000;
    91    4.029             350           -6200          0.0000;
    92    4.073             311           -6240          0.0000;
    93    4.117             171           -6260          0.0000;
    94    4.161              27           -6245          0.0000;
    95    4.206             -33           -6204          0.0000;
    96    4.250              19           -6163          0.0000;
    97    4.294             139           -6143          0.0000;
    98    4.339             253           -6149          0.0000;
    99    4.383             286           -6176          0.0000;
   100    4.427             224           -6199          0.0000;
   101    4.471             122           -6203          0.0000;
   102    4.516              45           -6182          0.0000;
   103    4.560              36           -6153          0.0000;
   104    4.604              92           -6129          0.0000;
   105    4.648             171           -6122          0.0000;
   106    4.693             221           -6129          0.0000;
   107    4.737             209           -6144          0.0000;
   108    4.781             159           -6149          0.0000;
   109    4.826             109           -6143          0.0000;
   110    4.870              88           -6128          0.0000;
   111    4.914             103           -6112          0.0000;
   112    4.958             139           -6102          0.0000;
   113    5.003             165           -6101          0.0000;
   114    5.047             163           -6102          0.0000;
   115    5.091             144           -6102          0.0000;
   116    5.135             128           -6099          0.0000;
   117    5.180             122           -6092          0.0000;
   118    5.224             125           -6086          0.0000;
   119    5.268             132           -6081          0.0000;
   120    5.313             132           -6077          0.0000;
   121    5.357             124           -6074          0.0000;
   122    5.401             121           -6068          0.0000;
   123    5.445             125           -6064          0.0000;
   124    5.490             123           -6061          0.0000;
   125    5.534             119           -6057          0.0000;
   126    5.578             121           -6053          0.0000;
   127    5.622             120           -6050          0.0000;
   128    5.667             116           -6046          0.0000;
   129    5.711             115           -6043          0.0000;
   130    5.755             116           -6040          0.0000;
   131    5.799             113           -6037          0.0000;
   132    5.844             110           -6034          0.0000;
   133    5.888             111           -6031          0.0000;
   134    5.932             110           -6029          0.0000]
