 Sample   Time     Encoder 2 Pos   Encoder 4 Pos   Control Effort 2

[    0    0.000             282             -76          0.0000;
     1    0.044             378             -74          3.0006;
     2    0.089             658            -118          3.0006;
     3    0.133             959            -231          3.0006;
     4    0.177            1108            -398          3.0006;
     5    0.221            1026            -573          3.0006;
     6    0.266             771            -708          3.0006;
     7    0.310             500            -778          3.0006;
     8    0.354             386            -800          3.0006;
     9    0.398             494            -821          3.0006;
    10    0.443             745            -885          3.0006;
    11    0.487             986           -1006          3.0006;
    12    0.531            1077           -1168          3.0006;
    13    0.576             972           -1328          3.0006;
    14    0.620             742           -1447          3.0006;
    15    0.664             533           -1513          3.0006;
    16    0.708             474           -1545          3.0006;
    17    0.753             591           -1583          3.0006;
    18    0.797             805           -1661          3.0006;
    19    0.841             989           -1785          3.0006;
    20    0.885            1032           -1937          3.0006;
    21    0.930             918           -2080          3.0006;
    22    0.974             729           -2186          3.0006;
    23    1.018             581           -2250          3.0006;
    24    1.063             561           -2294          3.0006;
    25    1.107             674           -2348          3.0006;
    26    1.151             849           -2436          3.0006;
    27    1.195             976           -2560          3.0006;
    28    1.240             982           -2699          3.0006;
    29    1.284             877           -2826          3.0006;
    30    1.328             733           -2923          3.0006;
    31    1.372             636           -2990          3.0006;
    32    1.417             643           -3045          3.0006;
    33    1.461             746           -3113          3.0006;
    34    1.505             876           -3209          3.0006;
    35    1.549             951           -3328          3.0006;
    36    1.594             935           -3454          3.0006;
    37    1.638             848           -3567          3.0006;
    38    1.682             747           -3657          3.0006;
    39    1.727             698           -3729          3.0006;
    40    1.771             731           -3797          3.0006;
    41    1.815             814           -3878          3.0006;
    42    1.859             890           -3980          3.0006;
    43    1.904             918           -4092          3.0006;
    44    1.948             890           -4204          3.0006;
    45    1.992             829           -4305          3.0006;
    46    2.036             778           -4392          3.0006;
    47    2.081             773           -4471          3.0006;
    48    2.125             810           -4553          3.0006;
    49    2.169             854           -4645          3.0006;
    50    2.214             881           -4745          3.0006;
    51    2.258             879           -4848          3.0006;
    52    2.302             858           -4947          3.0006;
    53    2.346             835           -5040          3.0006;
    54    2.391             831           -5129          3.0006;
    55    2.435             842           -5218          3.0006;
    56    2.479             851           -5310          3.0006;
    57    2.523             856           -5402          3.0006;
    58    2.568             857           -5495          3.0006;
    59    2.612             854           -5587          3.0006;
    60    2.656             853           -5678          3.0006;
    61    2.701             859           -5769          3.0006;
    62    2.745             864           -5861          3.0006;
    63    2.789             863           -5953          3.0006;
    64    2.833             864           -6045          3.0006;
    65    2.878             868           -6136          3.0006;
    66    2.922             869           -6228          3.0006;
    67    2.966             868           -6319          3.0006;
    68    3.010             866           -6410          0.0000;
    69    3.055             741           -6492          0.0000;
    70    3.099             445           -6525          0.0000;
    71    3.143             159           -6487          0.0000;
    72    3.188              59           -6401          0.0000;
    73    3.232             198           -6320          0.0000;
    74    3.276             476           -6290          0.0000;
    75    3.320             720           -6321          0.0000;
    76    3.365             784           -6392          0.0000;
    77    3.409             635           -6452          0.0000;
    78    3.453             375           -6465          0.0000;
    79    3.497             168           -6418          0.0000;
    80    3.542             140           -6344          0.0000;
    81    3.586             294           -6285          0.0000;
    82    3.630             527           -6271          0.0000;
    83    3.674             696           -6309          0.0000;
    84    3.719             696           -6366          0.0000;
    85    3.763             538           -6405          0.0000;
    86    3.807             331           -6400          0.0000;
    87    3.852             203           -6354          0.0000;
    88    3.896             226           -6294          0.0000;
    89    3.940             376           -6256          0.0000;
    90    3.984             554           -6257          0.0000;
    91    4.029             647           -6292          0.0000;
    92    4.073             601           -6333          0.0000;
    93    4.117             461           -6351          0.0000;
    94    4.161             317           -6336          0.0000;
    95    4.206             256           -6295          0.0000;
    96    4.250             309           -6253          0.0000;
    97    4.294             435           -6233          0.0000;
    98    4.339             548           -6241          0.0000;
    99    4.383             577           -6268          0.0000;
   100    4.427             515           -6290          0.0000;
   101    4.471             412           -6295          0.0000;
   102    4.516             330           -6274          0.0000;
   103    4.560             320           -6243          0.0000;
   104    4.604             380           -6218          0.0000;
   105    4.648             462           -6211          0.0000;
   106    4.693             511           -6220          0.0000;
   107    4.737             500           -6233          0.0000;
   108    4.781             448           -6240          0.0000;
   109    4.826             392           -6234          0.0000;
   110    4.870             367           -6217          0.0000;
   111    4.914             386           -6200          0.0000;
   112    4.958             425           -6190          0.0000;
   113    5.003             452           -6189          0.0000;
   114    5.047             452           -6190          0.0000;
   115    5.091             433           -6192          0.0000;
   116    5.135             410           -6189          0.0000;
   117    5.180             399           -6181          0.0000;
   118    5.224             405           -6172          0.0000;
   119    5.268             415           -6167          0.0000;
   120    5.313             414           -6164          0.0000;
   121    5.357             409           -6159          0.0000;
   122    5.401             407           -6155          0.0000;
   123    5.445             407           -6151          0.0000;
   124    5.490             406           -6147          0.0000;
   125    5.534             406           -6144          0.0000;
   126    5.578             404           -6142          0.0000;
   127    5.622             401           -6139          0.0000;
   128    5.667             400           -6136          0.0000;
   129    5.711             400           -6134          0.0000;
   130    5.755             397           -6131          0.0000;
   131    5.799             393           -6129          0.0000;
   132    5.844             393           -6127          0.0000;
   133    5.888             392           -6125          0.0000;
   134    5.932             388           -6123          0.0000]
