 Sample   Time     Encoder 2 Pos   Encoder 4 Pos   Control Effort 2

[    0    0.000             -37              17          0.0000;
     1    0.044              51              18          3.0006;
     2    0.089             324             -26          3.0006;
     3    0.133             626            -139          3.0006;
     4    0.177             775            -306          3.0006;
     5    0.221             694            -481          3.0006;
     6    0.266             441            -616          3.0006;
     7    0.310             170            -687          3.0006;
     8    0.354              55            -711          3.0006;
     9    0.398             161            -733          3.0006;
    10    0.443             406            -797          3.0006;
    11    0.487             641            -918          3.0006;
    12    0.531             729           -1078          3.0006;
    13    0.576             621           -1235          3.0006;
    14    0.620             394           -1352          3.0006;
    15    0.664             190           -1417          3.0006;
    16    0.708             137           -1450          3.0006;
    17    0.753             256           -1490          3.0006;
    18    0.797             465           -1570          3.0006;
    19    0.841             638           -1695          3.0006;
    20    0.885             670           -1845          3.0006;
    21    0.930             550           -1985          3.0006;
    22    0.974             364           -2087          3.0006;
    23    1.018             225           -2149          3.0006;
    24    1.063             218           -2194          3.0006;
    25    1.107             337           -2251          3.0006;
    26    1.151             505           -2342          3.0006;
    27    1.195             617           -2467          3.0006;
    28    1.240             606           -2605          3.0006;
    29    1.284             493           -2727          3.0006;
    30    1.328             356           -2819          3.0006;
    31    1.372             275           -2884          3.0006;
    32    1.417             297           -2942          3.0006;
    33    1.461             402           -3014          3.0006;
    34    1.505             522           -3114          3.0006;
    35    1.549             578           -3234          3.0006;
    36    1.594             544           -3357          3.0006;
    37    1.638             456           -3464          3.0006;
    38    1.682             370           -3550          3.0006;
    39    1.727             336           -3622          3.0006;
    40    1.771             374           -3693          3.0006;
    41    1.815             453           -3778          3.0006;
    42    1.859             518           -3881          3.0006;
    43    1.904             534           -3992          3.0006;
    44    1.948             499           -4101          3.0006;
    45    1.992             445           -4199          3.0006;
    46    2.036             407           -4285          3.0006;
    47    2.081             411           -4366          3.0006;
    48    2.125             445           -4452          3.0006;
    49    2.169             479           -4546          3.0006;
    50    2.214             495           -4646          3.0006;
    51    2.258             487           -4745          3.0006;
    52    2.302             471           -4842          3.0006;
    53    2.346             460           -4935          3.0006;
    54    2.391             465           -5026          3.0006;
    55    2.435             474           -5119          3.0006;
    56    2.479             477           -5214          3.0006;
    57    2.523             473           -5307          3.0006;
    58    2.568             476           -5400          3.0006;
    59    2.612             477           -5493          3.0006;
    60    2.656             474           -5585          3.0006;
    61    2.701             478           -5677          3.0006;
    62    2.745             481           -5770          3.0006;
    63    2.789             479           -5862          3.0006;
    64    2.833             480           -5954          3.0006;
    65    2.878             485           -6045          3.0006;
    66    2.922             487           -6138          3.0006;
    67    2.966             486           -6230          3.0006;
    68    3.010             483           -6321          0.0000;
    69    3.055             351           -6402          0.0000;
    70    3.099              53           -6434          0.0000;
    71    3.143            -233           -6394          0.0000;
    72    3.188            -326           -6307          0.0000;
    73    3.232            -178           -6226          0.0000;
    74    3.276             105           -6197          0.0000;
    75    3.320             350           -6231          0.0000;
    76    3.365             408           -6303          0.0000;
    77    3.409             252           -6364          0.0000;
    78    3.453             -13           -6375          0.0000;
    79    3.497            -218           -6326          0.0000;
    80    3.542            -239           -6250          0.0000;
    81    3.586             -77           -6191          0.0000;
    82    3.630             164           -6178          0.0000;
    83    3.674             334           -6218          0.0000;
    84    3.719             329           -6278          0.0000;
    85    3.763             164           -6317          0.0000;
    86    3.807             -50           -6311          0.0000;
    87    3.852            -178           -6262          0.0000;
    88    3.896            -149           -6201          0.0000;
    89    3.940              11           -6162          0.0000;
    90    3.984             199           -6163          0.0000;
    91    4.029             295           -6202          0.0000;
    92    4.073             244           -6245          0.0000;
    93    4.117              94           -6264          0.0000;
    94    4.161             -58           -6248          0.0000;
    95    4.206            -121           -6203          0.0000;
    96    4.250             -59           -6159          0.0000;
    97    4.294              79           -6138          0.0000;
    98    4.339             205           -6148          0.0000;
    99    4.383             236           -6178          0.0000;
   100    4.427             166           -6204          0.0000;
   101    4.471              50           -6209          0.0000;
   102    4.516             -41           -6186          0.0000;
   103    4.560             -51           -6151          0.0000;
   104    4.604              20           -6124          0.0000;
   105    4.648             118           -6116          0.0000;
   106    4.693             179           -6127          0.0000;
   107    4.737             169           -6146          0.0000;
   108    4.781             108           -6155          0.0000;
   109    4.826              37           -6150          0.0000;
   110    4.870               1           -6130          0.0000;
   111    4.914              23           -6108          0.0000;
   112    4.958              75           -6095          0.0000;
   113    5.003             120           -6093          0.0000;
   114    5.047             132           -6099          0.0000;
   115    5.091             110           -6103          0.0000;
   116    5.135              75           -6102          0.0000;
   117    5.180              52           -6092          0.0000;
   118    5.224              57           -6080          0.0000;
   119    5.268              77           -6072          0.0000;
   120    5.313              90           -6067          0.0000;
   121    5.357              91           -6064          0.0000;
   122    5.401              84           -6060          0.0000;
   123    5.445              77           -6056          0.0000;
   124    5.490              75           -6049          0.0000;
   125    5.534              80           -6044          0.0000;
   126    5.578              82           -6039          0.0000;
   127    5.622              77           -6035          0.0000;
   128    5.667              75           -6028          0.0000;
   129    5.711              79           -6023          0.0000;
   130    5.755              79           -6019          0.0000;
   131    5.799              75           -6013          0.0000;
   132    5.844              77           -6008          0.0000;
   133    5.888              79           -6004          0.0000;
   134    5.932              75           -5999          0.0000]
